LIME coefficients version,20251010_v1
Interpolation spectrum,ASD
latitude (deg),0.0
longitude (deg),180.0
altitude (m),0.0
datetime,2024-10-17 12:30:00+00:00
moon phase angle (deg),2.0094104876945935
selenographic latitude (deg),-2.4629755796726673
selenographic longitude (deg),1.06320402779235
solar selenographic longitude (rad),0.010556410111700304
distance sun moon (AU),0.9988308198747283
distance observer moon (km),351276.5402053473
CIMEL Wavelengths (nm),2024-10-17 12:30:00.000+00:00 Irradiances (Wm⁻²nm⁻¹),2024-10-17 12:30:00.000+00:00 Irradiances (Wm⁻²nm⁻¹) uncertainties (k=2)
440,5.099748341945304e-06,5.964964678486894e-08
500,6.038757968189439e-06,6.390761685156668e-08
675,5.854093819479469e-06,6.004336014502079e-08
870,4.141675176591549e-06,4.298004043919983e-08
1020,3.3090267937381584e-06,4.01615058010779e-08
1640,1.4601100637687751e-06,1.8126937163794646e-08
Wavelengths (nm),2024-10-17 12:30:00.000+00:00 Irradiances (Wm⁻²nm⁻¹),2024-10-17 12:30:00.000+00:00 Irradiances (Wm⁻²nm⁻¹) uncertainties (k=2)
350.0,2.045319058896095e-06,2.7596435242639987e-08
351.0,2.0952300535450673e-06,2.8239239794193526e-08
352.0,2.110066100704984e-06,2.842678539640582e-08
353.0,2.1649222174408127e-06,2.9168666908896363e-08
354.0,2.253644323792541e-06,3.0373384195870446e-08
355.0,2.2611003545310076e-06,3.0507996991415956e-08
356.0,2.1333334834700194e-06,2.874250603090325e-08
357.0,1.95173837319819e-06,2.629742584423574e-08
358.0,1.8654849734588667e-06,2.5170136763764712e-08
359.0,1.9471487163797135e-06,2.627173145388516e-08
360.0,2.0764532324048874e-06,2.8006668166252835e-08
361.0,2.131025421620479e-06,2.8732044527469743e-08
362.0,2.168889611135248e-06,2.9205444487578626e-08
363.0,2.246204987687318e-06,3.026631844310959e-08
364.0,2.3493913680271893e-06,3.165533153344892e-08
365.0,2.4907436585889262e-06,3.3553705566522726e-08
366.0,2.632667252265398e-06,3.545398262067507e-08
367.0,2.6902603758232134e-06,3.626325562120551e-08
368.0,2.680979121432135e-06,3.6109612118396187e-08
369.0,2.686766720432529e-06,3.620880040432006e-08
370.0,2.6937569973350635e-06,3.631581270762902e-08
371.0,2.639217975381948e-06,3.557536277953771e-08
372.0,2.511128208065357e-06,3.385839215215529e-08
373.0,2.352749139937298e-06,3.170835460013214e-08
374.0,2.266014980526343e-06,3.053974482764963e-08
375.0,2.330857049859004e-06,3.1410753096122205e-08
376.0,2.519187033147304e-06,3.397762886293557e-08
377.0,2.741292106865427e-06,3.689262299874892e-08
378.0,2.8752372165073235e-06,3.875441390086159e-08
379.0,2.8474334088943098e-06,3.8390637754295985e-08
380.0,2.7370088061125548e-06,3.6909849060698506e-08
381.0,2.5658054713462634e-06,3.464407957352755e-08
382.0,2.2883161454973115e-06,3.0888702086889385e-08
383.0,2.0667519693811754e-06,2.78749909578101e-08
